Cycle,Battery-M,M8020-train,M8020-valid,M8020-predict,M5050-train,M5050-valid,M5050-predict,M2080-train,M2080-valid,M2080-predict
281,37.0752,37.0752,,,37.0752,,,,37.0752,36.95358
282,37.0586,37.0586,,,37.0586,,,,37.0586,36.953056
283,37.0737,37.0737,,,37.0737,,,,37.0737,36.95211
284,37.0747,37.0747,,,37.0747,,,,37.0747,36.951668
285,37.1438,37.1438,,,37.1438,,,,37.1438,36.9516
286,37.1974,37.1974,,,37.1974,,,,37.1974,36.95482
287,37.208,37.208,,,37.208,,,,37.208,36.962116
288,37.1574,37.1574,,,37.1574,,,,37.1574,36.9718
289,37.1167,37.1167,,,37.1167,,,,37.1167,36.98001
290,37.1521,37.1521,,,37.1521,,,,37.1521,36.985004
291,37.1893,37.1893,,,37.1893,,,,37.1893,36.989315
292,37.1249,37.1249,,,37.1249,,,,37.1249,36.99455
293,37.1301,37.1301,,,37.1301,,,,37.1301,36.997143
294,37.0728,37.0728,,,37.0728,,,,37.0728,36.99827
295,37.0811,37.0811,,,37.0811,,,,37.0811,36.99592
296,37.1257,37.1257,,,37.1257,,,,37.1257,36.992077
297,37.1395,37.1395,,,37.1395,,,,37.1395,36.98958
298,37.1446,37.1446,,,37.1446,,,,37.1446,36.988663
299,37.1651,37.1651,,,37.1651,,,,37.1651,36.988987
300,37.1398,37.1398,,,37.1398,,,,37.1398,36.990944
301,37.1589,37.1589,,,37.1589,,,,37.1589,36.99261
302,37.1655,37.1655,,,37.1655,,,,37.1655,36.994846
303,37.1473,37.1473,,,37.1473,,,,37.1473,36.997543
304,37.154,37.154,,,37.154,,,,37.154,36.999523
305,37.1765,37.1765,,,37.1765,,,,37.1765,37.001247
306,37.1335,37.1335,,,37.1335,,,,37.1335,37.00369
307,37.0734,37.0734,,,37.0734,,,,37.0734,37.00449
308,37.0458,37.0458,,,37.0458,,,,37.0458,37.001633
309,37.0238,37.0238,,,37.0238,,,,37.0238,36.995605
310,37.0032,37.0032,,,37.0032,,,,37.0032,36.98714
311,36.9788,36.9788,,,36.9788,,,,36.9788,36.976906
312,36.9774,36.9774,,,36.9774,,,,36.9774,36.965252
313,36.9947,36.9947,,,36.9947,,,,36.9947,36.9535
314,37.0229,37.0229,,,37.0229,,,,37.0229,36.94324
315,37.0479,37.0479,,,37.0479,,,,37.0479,36.935806
316,37.0382,37.0382,,,37.0382,,,,37.0382,36.931633
317,37.0501,37.0501,,,37.0501,,,,37.0501,36.929237
318,37.1211,37.1211,,,37.1211,,,,37.1211,36.928566
319,37.172,37.172,,,37.172,,,,37.172,36.93206
320,37.1522,37.1522,,,37.1522,,,,37.1522,36.94
321,37.1085,37.1085,,,37.1085,,,,37.1085,36.94912
322,37.0626,37.0626,,,37.0626,,,,37.0626,36.95639
323,37.0588,37.0588,,,37.0588,,,,37.0588,36.960033
324,37.0805,37.0805,,,37.0805,,,,37.0805,36.961098
325,37.1222,37.1222,,,37.1222,,,,37.1222,36.96151
326,37.1861,37.1861,,,37.1861,,,,37.1861,36.96334
327,37.2839,37.2839,,,37.2839,,,,37.2839,36.968723
328,37.2423,37.2423,,,37.2423,,,,37.2423,36.980156
329,37.2558,37.2558,,,37.2558,,,,37.2558,36.992554
330,37.2114,37.2114,,,37.2114,,,,37.2114,37.0053
331,37.1332,37.1332,,,37.1332,,,,37.1332,37.015415
332,37.1371,37.1371,,,37.1371,,,,37.1371,37.019848
333,37.1298,37.1298,,,37.1298,,,,37.1298,37.020817
334,37.122,37.122,,,37.122,,,,37.122,37.019344
335,37.1125,37.1125,,,37.1125,,,,37.1125,37.016212
336,37.1256,37.1256,,,37.1256,,,,37.1256,37.011925
337,37.1472,37.1472,,,37.1472,,,,37.1472,37.00786
338,37.1685,37.1685,,,37.1685,,,,37.1685,37.005165
339,37.159,37.159,,,37.159,,,,37.159,37.00442
340,37.156,37.156,,,37.156,,,,37.156,37.00447
341,37.1495,37.1495,,,37.1495,,,,37.1495,37.004864
342,37.1456,37.1456,,,37.1456,,,,37.1456,37.005142
343,37.1337,37.1337,,,37.1337,,,,37.1337,37.00516
344,37.1283,37.1283,,,37.1283,,,,37.1283,37.004498
345,37.1134,37.1134,,,37.1134,,,,37.1134,37.00323
346,37.1033,37.1033,,,37.1033,,,,37.1033,37.001034
347,37.1037,37.1037,,,37.1037,,,,37.1037,36.997997
348,37.104,37.104,,,37.104,,,,37.104,36.994686
349,37.0967,37.0967,,,37.0967,,,,37.0967,36.991447
350,37.0963,37.0963,,,37.0963,,,,37.0963,36.98815
351,37.0849,37.0849,,,37.0849,,,,37.0849,36.98503
352,37.1043,37.1043,,,37.1043,,,,37.1043,36.98172
353,37.1313,37.1313,,,37.1313,,,,37.1313,36.97937
354,37.1428,37.1428,,,37.1428,,,,37.1428,36.978935
355,37.1252,37.1252,,,37.1252,,,,37.1252,36.980152
356,37.1437,37.1437,,,37.1437,,,,37.1437,36.981487
357,37.1417,37.1417,,,37.1417,,,,37.1417,36.983612
358,37.1055,37.1055,,,37.1055,,,,37.1055,36.98596
359,37.1347,37.1347,,,37.1347,,,,37.1347,36.986668
360,37.1758,37.1758,,,37.1758,,,,37.1758,36.987656
361,37.177,37.177,,,37.177,,,,37.177,36.990536
362,37.1881,37.1881,,,37.1881,,,,37.1881,36.994385
363,37.1862,37.1862,,,37.1862,,,,37.1862,36.999043
364,37.1926,37.1926,,,37.1926,,,,37.1926,37.00378
365,37.1605,37.1605,,,37.1605,,,,37.1605,37.008526
366,37.1323,37.1323,,,37.1323,,,,37.1323,37.011528
367,37.1423,37.1423,,,37.1423,,,,37.1423,37.012074
368,37.1018,37.1018,,,37.1018,,,,37.1018,37.011578
369,37.0992,37.0992,,,37.0992,,,,37.0992,37.00871
370,37.117,37.117,,,37.117,,,,37.117,37.00454
371,37.096,37.096,,,37.096,,,,37.096,37.000683
372,37.1219,37.1219,,,37.1219,,,,37.1219,36.996346
373,37.1385,37.1385,,,37.1385,,,,37.1385,36.993187
374,37.1147,37.1147,,,37.1147,,,,37.1147,36.991665
375,37.089,37.089,,,37.089,,,,37.089,36.990158
376,37.0929,37.0929,,,37.0929,,,,37.0929,36.98765
377,37.0766,37.0766,,,37.0766,,,,37.0766,36.98488
378,37.0314,37.0314,,,37.0314,,,,37.0314,36.98141
379,37.0467,37.0467,,,37.0467,,,,37.0467,36.97577
380,37.012,37.012,,,37.012,,,,37.012,36.969906
381,37.0174,37.0174,,,37.0174,,,,37.0174,36.962757
382,37.0323,37.0323,,,37.0323,,,,37.0323,36.95558
383,37.0523,37.0523,,,37.0523,,,,37.0523,36.949516
384,37.031,37.031,,,37.031,,,,37.031,36.9454
385,37.0255,37.0255,,,37.0255,,,,37.0255,36.94176
386,37.0098,37.0098,,,37.0098,,,,37.0098,36.93841
387,36.9412,36.9412,,,36.9412,,,,36.9412,36.93475
388,36.9849,36.9849,,,36.9849,,,,36.9849,36.92811
389,37.0463,37.0463,,,37.0463,,,,37.0463,36.922073
390,37.2483,37.2483,,,37.2483,,,,37.2483,36.919487
391,37.2969,37.2969,,,37.2969,,,,37.2969,36.928013
392,37.3231,37.3231,,,37.3231,,,,37.3231,36.94465
393,37.3654,37.3654,,,37.3654,,,,37.3654,36.96612
394,37.4607,37.4607,,,37.4607,,,,37.4607,36.990833
395,37.4482,37.4482,,,37.4482,,,,37.4482,37.019947
396,37.4501,37.4501,,,37.4501,,,,37.4501,37.049057
397,37.3757,37.3757,,,37.3757,,,,37.3757,37.07626
398,37.3312,37.3312,,,37.3312,,,,37.3312,37.097187
399,37.3722,37.3722,,,37.3722,,,,37.3722,37.11106
400,37.3615,37.3615,,,37.3615,,,,37.3615,37.12167
401,37.39,37.39,,,37.39,,,,37.39,37.129177
402,37.3987,37.3987,,,37.3987,,,,37.3987,37.13567
403,37.3988,37.3988,,,37.3988,,,,37.3988,37.14156
404,37.4131,37.4131,,,37.4131,,,,37.4131,37.14675
405,37.4394,37.4394,,,37.4394,,,,37.4394,37.151867
406,37.4422,37.4422,,,37.4422,,,,37.4422,37.157784
407,37.4526,37.4526,,,37.4526,,,,37.4526,37.163918
408,37.473,37.473,,,37.473,,,,37.473,37.17025
409,37.479,37.479,,,37.479,,,,37.479,37.177185
410,37.4825,37.4825,,,37.4825,,,,37.4825,37.184284
411,37.4779,37.4779,,,37.4779,,,,37.4779,37.19116
412,37.4737,37.4737,,,37.4737,,,,37.4737,37.197247
413,37.4975,37.4975,,,37.4975,,,,37.4975,37.202286
414,37.4784,37.4784,,,37.4784,,,,37.4784,37.20743
415,37.4412,37.4412,,,37.4412,,,,37.4412,37.211445
416,37.4306,37.4306,,,37.4306,,,,37.4306,37.21291
